04 AK 1 (4684,3459) 58x94
13 4 47 (1815,2939) 50x39
13 4 48 (1671,3475) 51x53
13 4 49 (1450,2866) 51x39
13 4 49 (1599,2866) 42x40
13 4 50 (1524,2648) 50x38
13 4 51 (1414,3184) 58x57
13 4 51A (927,3488) 75x38
13 4 51B (922,3329) 83x63
13 4 52 (1525,3196) 47x34
13 4 53 (1195,3050) 50x38
13 4 54 (1306,2866) 47x38
13 4 55 (1013,2830) 50x38
13 4 56 (1341,2648) 50x38
13 4 57 (1122,2648) 49x38
13 4 58 (1195,2429) 51x38
13 4 59 (1159,2210) 50x38
13 4 60 (975,3214) 51x38
13 4 61 (1194,3488) 47x38
13 4 62 (2545,2830) 51x38
13 4 63 (2873,2648) 51x38
13 4 64 (3110,2666) 50x39
13 4 65 (3345,2392) 57x43
13 4 66 (2180,2615) 51x34
13 4 66 (2143,2286) 51x34
13 4 67 (2285,2418) 59x51
13 4 67 (1774,2380) 57x57
13 4 68 (1450,2027) 52x38
13 4 69 (2125,2009) 51x38
13 4 70 (2181,1826) 50x38
13 4 71 (1907,1753) 46x38
13 4 72 (1743,1643) 50x38
13 4 73 (1378,1772) 50x38
13 4 74 (1227,2011) 61x66
13 4 74A (1161,1896) 76x41
13 4 75 (2327,1552) 50x38
13 4 76 (2582,1607) 50x38
13 4 77 (2546,1881) 49x38
13 4 78 (2303,2076) 58x52
13 4 79 (2691,1681) 50x38
13 4 80 (2727,1844) 51x38
13 4 81 (2581,2046) 47x38
13 4 82 (2946,1954) 51x38
13 4 83 (3128,1863) 51x38
13 4 84 (2800,2172) 50x39
13 4 85 (3055,2228) 51x38
13 4 86 (3054,2091) 43x32
13 4 87 (3207,2126) 51x39
13 4 88 (3215,1976) 52x39
13 4 89 (1888,2082) 51x38
13 4 90 (1413,2447) 51x38
13 4 91 (1472,1668) 55x50
13 4 91 (1435,1348) 54x46
13 4 92 (1997,1296) 51x38
13 4 93 (1815,1333) 51x39
13 4 94 (2432,1305) 57x58
13 4 95 (2432,1164) 58x50
13 4 96 (2399,931) 51x38
13 4 97 (2253,493) 50x38
13 4 97A (2568,414) 77x48
13 4 97B (1984,307) 79x41
13 4 98 (1888,950) 52x38
13 4 99 (1596,1004) 51x39
13 4 100 (1390,822) 67x38
13 4 101 (2758,4474) 63x38
13 4 101A (3009,4561) 93x34
13 4 102 (2756,4316) 74x54
13 4 103 (2466,4474) 67x38
13 4 104 (2466,4327) 66x39
13 4 105 (1801,5241) 154x47
13 4 105 (1846,4875) 67x38
13 4 105 (1775,5463) 62x33
13 4 105 (1917,5521) 71x53
13 4 106 (1728,5011) 91x55
13 4 107 (1444,4839) 66x38
13 4 108 (1512,5084) 76x43
13 4 109 (1408,5278) 67x38
13 4 110 (1580,5479) 87x63
13 4 111 (1150,5094) 65x37
13 4 112A (810,5424) 95x36
13 4 112B (720,5252) 88x38
13 4 112C (768,5637) 93x36
13 4 113 (822,5767) 71x39
13 4 114 (970,5860) 66x39
13 4 115 (1102,5554) 89x62
13 4 116 (1371,5497) 68x34
13 4 117 (1208,5786) 70x40
13 4 118 (1398,5813) 84x56
13 4 119 (1844,5898) 69x37
13 4 120 (1736,6245) 67x38
13 4 120A (1776,6063) 94x37
13 4 121 (1407,6080) 65x39
13 4 122 (1663,6556) 67x38
13 4 122A (1410,6371) 94x41
13 4 123 (1627,5716) 67x38
13 4 124 (2065,5715) 66x39
13 4 125 (2101,5533) 67x38
13 4 126 (2086,5246) 102x62
13 4 127 (2275,5921) 82x60
13 4 128 (2466,5679) 68x38
13 4 129 (2430,5387) 67x38
13 4 130 (2466,5168) 67x38
13 4 131 (2539,4949) 63x38
13 4 132 (2758,4839) 67x38
13 4 133 (2539,4693) 67x38
13 4 134 (2138,4838) 66x39
13 4 135 (2174,5022) 67x38
13 4 136 (2649,5241) 67x38
13 4 137 (2831,5241) 66x38
13 4 138A (2991,5004) 106x68
13 4 138B (3512,5022) 92x38
13 4 138C (3876,5015) 102x53
13 4 139A (2637,5723) 99x59
13 4 139B (2637,6190) 92x39
13 4 139C (2637,6623) 101x50
13 4 140 (2829,5645) 66x32
13 4 141 (3047,5747) 78x53
13 4 142 (2977,5860) 67x40
13 4 143 (3013,6336) 67x39
13 4 144 (3196,6007) 66x39
13 4 145 (2519,6339) 70x32
13 4 146 (2375,6427) 67x39
13 4 147 (2357,6591) 66x39
13 4 147A (2195,6605) 101x54
13 4 148 (1992,6481) 68x39
13 4 149 (3196,5422) 67x39
13 4 150 (3634,5423) 67x38
13 4 151 (4218,5496) 63x38
13 4 151A (4038,5761) 102x64
13 4 152 (4214,5858) 83x52
13 4 153 (3828,5777) 84x50
13 4 154 (3664,6369) 77x49
13 4 155 (3999,6337) 67x38
13 4 156 (4181,6337) 67x38
13 4 157 (4473,6556) 66x38
13 4 158 (4174,6696) 79x51
13 4 159 (4451,7132) 83x59
13 4 160 (4145,7359) 67x38
13 4 161 (4437,7359) 63x38
13 4 162 (4145,7724) 67x38
13 4 163 (3269,7432) 67x38
13 4 164 (3305,7577) 66x39
13 4 165 (3165,7240) 68x39
13 4 166 (2831,7798) 64x35
13 4 167 (2503,7323) 66x38
13 4 168 (2463,7094) 74x52
13 4 169 (2170,7358) 72x39
13 4 170 (1736,7323) 67x38
13 4 170A (1540,7559) 94x40
13 4 171 (1868,7678) 84x53
13 4 172 (1645,7816) 67x38
13 4 173 (1309,7677) 77x56
13 4 174 (1100,7939) 84x64
13 4 175 (1390,7998) 67x38
13 4 175A (1102,7614) 94x40
13 4 176 (1481,8418) 67x38
13 4 177 (1663,8163) 66x38
13 4 178 (1930,8321) 85x50
13 4 179 (2349,8008) 77x46
13 4 180 (2456,8152) 82x55
13 4 181 (2831,8163) 63x38
13 4 182 (2718,8391) 76x54
13 4 183 (2568,8347) 71x46
13 4 184 (2751,8598) 66x39
13 4 184A (3224,8102) 106x63
13 4 185 (2431,8530) 82x57
13 4 186 (2284,8528) 67x38
13 4 187 (2121,8482) 88x53
13 4 188 (2192,8820) 68x38
13 4 189 (1773,8929) 67x38
13 4 190 (1663,9112) 67x38
13 4 AV-39 (1538,6502) 88x30
13 4 EX-14 (2572,9166) 103x38
13 4 EX-15 (1492,9210) 120x59
13 4 SL5-1 (3976,6814) 45x26
13 4 SL7-37 (3366,1593) 61x27
13 4 SL8-19 (4425,8115) 58x23
13 4 SL9-75 (719,3348) 60x24
13 4 SL12-13 (1241,7509) 79x28
13 4 SL12-13 (1243,7509) 74x27
13 4 SL13-9 (2453,6995) 62x28
14 5 1 (3833,2539) 43x49
14 5 1-20 (3525,547) 67x27
14 5 2 (3946,3066) 30x41
14 5 2A (4211,2428) 59x41
14 5 2A (4738,1992) 61x41
14 5 3 (4105,2104) 30x41
14 5 3-7 (4628,2510) 49x31
14 5 3-12 (3929,2384) 65x28
14 5 3-52A (6071,1909) 88x32
14 5 3-55 (5484,3488) 65x29
14 5 3-114 (780,706) 82x32
14 5 3-117 (270,1825) 85x31
14 5 3-179 (6055,6134) 79x28
14 5 4 (4343,1782) 31x42
14 5 4-65 (257,1067) 65x33
14 5 4-87 (3917,872) 58x29
14 5 4-117 (1825,4017) 81x29
14 5 5 (4385,2584) 30x41
14 5 6 (3625,2689) 31x37
14 5 6-3 (5121,1700) 53x31
14 5 6-57 (7151,1886) 63x29
14 5 6-166 (2175,727) 86x34
14 5 6A (3391,2444) 60x41
14 5 6B (2668,1823) 59x42
14 5 6C (2783,1707) 59x41
14 5 6D (2568,1589) 63x51
14 5 6E (2757,2416) 55x41
14 5 6F (3310,1984) 54x41
14 5 7 (3521,2348) 30x41
14 5 7-34 (6433,3932) 64x30
14 5 7-88 (5885,6233) 64x29
14 5 7-109 (853,2663) 82x31
14 5 7-137 (2541,1157) 82x33
14 5 7-141 (3097,606) 86x30
14 5 8 (3322,2594) 41x42
14 5 8-35 (5924,647) 70x32
14 5 9 (2985,2865) 31x38
14 5 9-35 (5183,3691) 68x28
14 5 9A (3215,3128) 60x41
14 5 10 (3687,2320) 51x41
14 5 11 (3754,2246) 58x53
14 5 12 (3731,2101) 61x50
14 5 13 (3784,2047) 59x48
14 5 14 (4005,1843) 49x42
14 5 15 (4257,1583) 50x41
14 5 16 (4106,1510) 63x49
14 5 17 (4304,1418) 49x40
14 5 18 (3537,1703) 51x41
14 5 19 (3534,1463) 54x40
14 5 20 (3254,1583) 53x41
14 5 21 (3166,1711) 49x41
14 5 22 (3542,2088) 53x41
14 5 23 (3743,1982) 49x40
14 5 24 (3838,1718) 52x42
14 5 25 (2696,2522) 53x41
14 5 26 (2802,2733) 53x41
14 5 27 (2654,2705) 52x41
14 5 27 (2776,2608) 52x42
14 5 27 (2494,2560) 52x41
14 5 28 (2542,2657) 54x41
14 5 29 (2422,2388) 53x41
14 5 30 (2425,2154) 53x41
14 5 31 (2622,2207) 49x41
14 5 32 (4242,498) 53x41
14 5 33 (4174,1143) 53x41
14 5 34 (4652,1183) 50x36
14 5 35 (5085,2115) 54x42
14 5 36 (4374,2143) 53x41
14 5 37 (4755,2226) 50x33
14 5 38 (4998,2499) 58x52
14 5 39 (4800,2644) 62x46
14 5 40 (4950,2728) 55x42
14 5 41 (4131,3131) 68x52
14 5 42 (4132,3477) 55x42
14 5 43 (4340,3344) 55x42
14 5 44 (4532,3053) 54x42
14 5 44A (4502,2622) 85x44
14 5 45 (4652,3320) 55x42
14 5 46 (4852,3104) 55x42
14 5 47 (4852,2908) 54x42
14 5 48 (4652,2668) 56x42
14 5 49 (5080,2951) 55x42
14 5 50 (5334,2865) 53x41
14 5 51 (5414,3221) 49x41
14 5 52 (4854,3381) 53x41
14 5 52A (4476,3506) 82x41
14 5 52B (5097,3470) 64x34
14 5 53 (5654,1783) 53x41
14 5 54 (5334,1662) 52x42
14 5 55 (5152,1753) 53x41
14 5 56 (5134,1223) 53x41
14 5 57 (5013,580) 54x43
14 5 58 (4878,898) 54x41
14 5 59 (5094,750) 53x41
14 5 60 (5163,852) 54x41
14 5 61 (4955,1014) 63x57
14 5 62 (5313,707) 61x48
14 5 63 (5893,902) 54x41
14 5 64 (5893,2142) 53x42
14 5 65 (6173,2503) 54x42
14 5 66 (6492,1667) 54x37
14 5 67 (6492,1984) 53x41
14 5 68 (6492,1342) 55x41
14 5 69 (6892,1382) 54x41
14 5 70 (6892,982) 54x41
14 5 71 (6732,982) 50x41
14 5 72 (7172,982) 54x41
14 5 73 (7456,900) 47x47
14 5 74 (7366,1453) 60x53
14 5 75 (7052,1623) 54x41
14 5 76 (5733,3546) 54x41
14 5 77 (6812,3389) 53x41
14 5 78 (7529,3173) 61x61
14 5 79 (7212,2972) 54x41
14 5 80 (7011,3024) 55x43
14 5 81 (6731,3305) 51x41
14 5 82 (7011,3205) 56x41
14 5 83 (6731,2584) 55x41
14 5 84 (3772,1381) 54x42
14 5 85 (3492,702) 55x41
14 5 85A (3416,1263) 87x41
14 5 85B (3218,486) 100x105
14 5 86 (3596,1143) 55x41
14 5 87 (3092,1422) 54x43
14 5 88 (2852,1422) 56x43
14 5 89 (2852,902) 56x42
14 5 90 (2409,1422) 54x43
14 5 90A (2312,1326) 53x49
14 5 90B (2318,1475) 46x53
14 5 91 (3773,4226) 50x42
14 5 91 (3313,3765) 50x41
14 5 91 (2093,1703) 50x41
14 5 91 (2853,1263) 50x41
14 5 92 (2013,1022) 54x42
14 5 93 (2033,1543) 54x41
14 5 94 (1294,1302) 53x42
14 5 95 (1653,1382) 54x41
14 5 95A (1639,1223) 83x52
14 5 96 (1182,1063) 54x41
14 5 96 (1406,982) 54x41
14 5 96 (1262,942) 54x41
14 5 97 (934,1382) 53x41
14 5 98 (1294,1731) 55x41
14 5 99 (974,734) 54x39
14 5 100 (2329,882) 67x41
14 5 101 (1849,1263) 64x41
14 5 102 (689,1143) 67x41
14 5 103 (486,862) 73x41
14 5 104 (566,1702) 72x42
14 5 105 (928,1909) 74x42
14 5 106 (2166,2024) 73x41
14 5 107 (1889,2344) 66x41
14 5 108 (1366,2344) 74x41
14 5 109 (1446,2024) 73x41
14 5 110 (1164,2944) 76x38
14 5 111 (1914,3131) 94x64
14 5 112 (1714,2730) 55x28
14 5 113 (726,2304) 68x38
14 5 114 (606,2905) 71x40
14 5 115 (965,3466) 74x38
14 5 115A (643,3465) 116x42
14 5 116 (989,3946) 50x41
14 5 117 (1389,3982) 72x37
14 5 118 (2646,3404) 75x41
14 5 119 (5280,4467) 73x39
14 5 119 (4401,4467) 73x39
14 5 119 (2726,3205) 78x39
14 5 119 (1883,2023) 77x41
14 5 119A (2391,2865) 103x41
14 5 120 (4125,4467) 73x41
14 5 121 (4205,4146) 69x41
14 5 122 (4645,4066) 73x41
14 5 123 (4565,4307) 73x41
14 5 124 (5605,4185) 72x42
14 5 125 (5565,3946) 73x41
14 5 126 (6005,4226) 73x42
14 5 127 (4085,4867) 72x41
14 5 128 (3766,5469) 74x41
14 5 129 (4445,5347) 73x41
14 5 130 (4405,5828) 73x42
14 5 131 (5045,4987) 69x41
14 5 132 (5045,5588) 73x41
14 5 133 (5685,5347) 73x41
14 5 134 (5685,5827) 72x43
14 5 135 (6005,4867) 73x41
14 5 136 (6325,5469) 73x41
14 5 137 (6405,5027) 72x42
14 5 138 (6805,4507) 74x41
14 5 139 (6805,5469) 73x41
14 5 140 (6365,5847) 73x43
14 5 141 (5885,6008) 69x42
14 5 SL4-1 (5459,3028) 50x31
14 5 SL6-37 (1091,3151) 65x30
14 5 SL6-55A (3821,3771) 89x33
14 5 SL12-1 (715,527) 64x31
14 5 T1 (1899,1103) 53x41
14 5 T1 (1524,1143) 54x41
14 5 T2 (4931,5768) 57x41
14 5 T2 (2011,1215) 57x41
14 5 T3 (2075,894) 57x41
14 5 T4 (2194,1024) 63x57
14 5 T5 (2423,3665) 57x42
14 5 T5 (1675,1919) 57x42
14 5 T6 (977,2780) 57x42
14 5 T6 (1675,2119) 57x42
14 5 T7 (2759,3666) 57x42
14 5 T7 (976,2980) 57x42
14 5 T7 (1512,2576) 57x42
14 5 T8 (1512,2873) 58x41
14 5 T9 (5171,5768) 57x41
14 5 T9 (6410,5148) 57x41
14 5 T10 (2264,2352) 80x41
14 5 T11 (1640,1615) 78x39
14 5 T12 (2580,3813) 81x41
14 5 T12 (2608,2100) 81x41
14 5 T13 (2504,2249) 85x52
14 5 T14 (2712,2251) 80x43
14 5 T25 (1601,1117) 77x49
15 6 1 (3804,3527) 28x47
15 6 2 (3460,3915) 35x46
15 6 2 (2937,4530) 34x46
15 6 3 (3141,4098) 36x46
15 6 3-50B (5834,1480) 102x45
15 6 4 (2972,4161) 60x57
15 6 4-161 (6269,7129) 92x36
15 6 5 (2482,4484) 36x47
15 6 5-55 (3232,4033) 74x35
15 6 5-75 (5096,4125) 74x35
15 6 5-100 (715,2413) 90x35
15 6 6-38 (6362,821) 78x36
15 6 6A (2830,4825) 68x47
15 6 6B (2577,4083) 80x68
15 6 7 (3437,3028) 34x47
15 6 7-1 (2689,4678) 55x39
15 6 7-42 (6980,7366) 73x35
15 6 7A (3661,3173) 66x48
15 6 8 (3754,2846) 36x46
15 6 8-1 (3921,3682) 58x35
15 6 8-25 (4286,4697) 72x32
15 6 8-33 (2728,2236) 74x32
15 6 8-71 (5990,3242) 72x33
15 6 8-129 (7299,4127) 89x34
15 6 9 (3572,3256) 36x47
15 6 9 (3391,3256) 36x47
15 6 9 (3300,3141) 36x47
15 6 9 (3209,3141) 36x47
15 6 9-39 (3795,7746) 73x34
15 6 9A (3420,3392) 68x47
15 6 10 (3063,3027) 58x47
15 6 11 (3292,2893) 52x41
15 6 11 (3198,2892) 55x42
15 6 12 (3291,2663) 58x47
15 6 13 (3563,2799) 58x48
15 6 13 (3378,2795) 59x50
15 6 14 (3654,2617) 58x47
15 6 15 (3927,2208) 58x47
15 6 16 (4336,2253) 58x47
15 6 17 (3608,2211) 56x41
15 6 18 (3472,2436) 58x47
15 6 19 (3041,2617) 56x48
15 6 19A (2889,2776) 90x49
15 6 20 (2924,2345) 61x46
15 6 20A (2961,2170) 101x64
15 6 21 (2379,2117) 57x47
15 6 22 (2288,1618) 61x46
15 6 23 (2651,1618) 61x46
15 6 24 (3060,1526) 61x46
15 6 25 (2288,1298) 61x47
15 6 25A (2818,1147) 93x47
15 6 26 (2470,934) 61x47
15 6 27 (2470,570) 60x47
15 6 28 (4106,2618) 61x46
15 6 29 (4060,1935) 61x47
15 6 30 (4059,1754) 62x46
15 6 31 (4559,1843) 58x47
15 6 32 (4832,1754) 62x46
15 6 33 (4832,1980) 62x48
15 6 34 (4559,1389) 62x46
15 6 35 (3744,1836) 65x70
15 6 36 (3559,1662) 62x47
15 6 37 (3241,1754) 61x47
15 6 38 (4059,1480) 62x46
15 6 39 (4650,1025) 62x47
15 6 39A (4064,997) 57x63
15 6 39B (3655,743) 55x55
15 6 39C (4479,746) 42x53
15 6 39D (4200,627) 55x59
15 6 39D (3560,1004) 65x63
15 6 39D (4474,1012) 52x62
15 6 39E (3465,474) 62x46
15 6 39E (4585,467) 55x66
15 6 39F (4060,468) 55x59
15 6 39G (4066,327) 55x60
15 6 39H (4789,607) 57x59
15 6 40 (4558,2299) 63x46
15 6 41 (4149,3255) 59x47
15 6 42 (4376,3028) 63x46
15 6 43 (4604,2801) 63x46
15 6 44 (4831,2574) 63x45
15 6 44A (4997,2548) 95x48
15 6 44B (5612,2980) 93x48
15 6 45 (5376,2526) 63x47
15 6 46 (5787,2666) 60x43
15 6 47 (5376,2163) 62x47
15 6 48 (5376,1799) 63x46
15 6 49 (5785,1980) 63x49
15 6 49A (5700,1694) 97x69
15 6 50 (4014,4074) 62x47
15 6 51 (4150,3891) 58x47
15 6 52 (4468,3937) 62x47
15 6 53 (4377,3436) 62x47
15 6 54 (4559,3742) 62x47
15 6 55 (4605,3255) 62x47
15 6 56 (4786,3937) 62x47
15 6 57 (5014,3846) 61x48
15 6 58 (5741,3436) 62x47
15 6 59 (6695,3619) 62x48
15 6 60 (7104,3982) 62x48
15 6 61 (7104,4848) 58x47
15 6 62 (6877,5257) 62x47
15 6 63 (6877,5894) 62x47
15 6 64 (6877,6394) 62x48
15 6 65 (6878,7307) 62x41
15 6 66 (7331,6486) 62x47
15 6 67 (6241,6964) 61x48
15 6 68 (6195,4893) 62x47
15 6 69 (6331,5348) 62x48
15 6 69 (6059,5348) 62x48
15 6 69 (6059,4438) 62x48
15 6 70 (6560,5030) 61x47
15 6 70 (6560,4757) 61x47
15 6 71 (6196,5530) 57x48
15 6 72 (6584,5865) 56x54
15 6 73 (6514,5576) 61x48
15 6 74 (6332,5895) 61x47
15 6 75 (6151,5848) 61x48
15 6 76 (5920,5659) 70x62
15 6 77 (6014,5668) 60x47
15 6 78 (5787,5531) 61x47
15 6 79 (5651,5349) 61x47
15 6 80 (5650,5531) 62x46
15 6 81 (5900,5212) 58x47
15 6 82 (5695,5121) 62x46
15 6 83 (5513,5076) 62x46
15 6 84 (5922,4894) 62x46
15 6 85 (5741,4574) 62x47
15 6 85A (5412,4622) 88x42
15 6 86 (5604,4255) 62x47
15 6 87 (6195,4256) 61x47
15 6 88 (5877,4211) 62x46
15 6 89 (6650,4211) 62x47
15 6 90 (6422,3870) 62x47
15 6 91 (6195,4074) 58x48
15 6 92 (5150,4940) 62x47
15 6 93 (5286,5166) 62x47
15 6 94 (5513,4940) 62x47
15 6 95 (5241,4438) 62x48
15 6 95A (5105,3583) 107x45
15 6 96 (4968,4255) 62x48
15 6 97 (4786,4234) 61x47
15 6 98 (4730,4384) 62x48
15 6 99A (4907,5254) 94x47
15 6 99B (4908,5713) 93x47
15 6 100 (5323,5984) 84x49
15 6 101 (6142,6394) 79x48
15 6 102 (5595,6486) 84x47
15 6 103 (4914,6486) 84x47
15 6 104 (4641,4756) 84x47
15 6 105 (4505,4210) 84x47
15 6 106 (4230,4440) 86x42
15 6 107 (3860,4556) 91x50
15 6 108 (5165,5530) 83x47
15 6 108 (4415,5416) 83x47
15 6 108 (3460,4825) 83x47
15 6 109 (4323,6486) 84x48
15 6 110 (4009,6473) 83x44
15 6 111 (3677,6476) 96x63
15 6 112 (2732,7032) 81x46
15 6 112A (3306,7538) 115x45
15 6 113 (3141,6713) 81x45
15 6 114 (3345,6852) 84x43
15 6 114 (2937,6851) 83x44
15 6 114 (2937,6758) 83x46
15 6 114 (3346,6668) 82x46
15 6 114 (2936,6670) 83x42
15 6 114 (3343,6579) 86x44
15 6 114 (2937,6581) 82x41
15 6 115 (3296,6986) 88x44
15 6 116 (2960,6442) 84x43
15 6 117 (3322,6443) 82x44
15 6 118 (4320,7258) 87x49
15 6 119 (4322,7717) 84x43
15 6 120 (4318,6982) 87x55
15 6 121 (4050,7577) 80x47
15 6 122 (4596,7122) 84x47
15 6 123 (4001,7296) 90x59
15 6 124 (4641,7305) 84x47
15 6 125 (3323,5894) 84x47
15 6 126 (3048,6044) 84x47
15 6 127 (3505,5462) 83x48
15 6 128 (3232,5143) 84x47
15 6 129 (4414,5871) 84x48
15 6 130 (4050,5555) 81x42
15 6 131 (3733,5530) 79x47
15 6 132 (4137,5737) 87x42
15 6 133 (3914,5939) 84x47
15 6 134 (3733,5739) 77x38
15 6 135 (3641,6031) 84x47
15 6 136 (2187,4939) 84x47
15 6 137 (2914,5120) 83x48
15 6 138 (2914,5530) 84x47
15 6 139 (2755,5735) 84x48
15 6 140 (2551,5393) 84x47
15 6 141 (2278,5758) 80x47
15 6 142 (1823,5120) 84x47
15 6 143 (1051,5622) 84x47
15 6 144 (1997,5451) 97x69
15 6 145 (1914,4665) 84x47
15 6 146 (2060,4031) 81x43
15 6 147 (1914,3891) 83x48
15 6 148 (2164,4210) 84x47
15 6 149 (1547,4391) 83x50
15 6 150 (1324,4301) 84x47
15 6 151 (1414,3801) 80x47
15 6 152 (1460,3572) 84x49
15 6 153 (1187,3572) 84x49
15 6 154 (960,4301) 84x47
15 6 155 (1187,5165) 84x47
15 6 156 (1300,4645) 80x40
15 6 157 (1051,4848) 83x48
15 6 158 (915,5075) 91x47
15 6 159 (596,5120) 84x48
15 6 160 (506,4529) 84x47
15 6 161 (506,3801) 80x47
15 6 161A (127,3687) 115x47
15 6 162 (596,3255) 84x47
15 6 163 (1096,3255) 84x47
15 6 164 (1392,3256) 80x45
15 6 165 (687,2708) 84x47
15 6 166 (1324,2753) 84x47
15 6 167 (1869,3255) 83x48
15 6 168 (2010,3628) 84x47
15 6 AV-27 (1650,3598) 100x37
15 6 SL2-3 (5074,3775) 53x30
15 6 SL4-28 (2639,7327) 113x34
15 6 SL4-53 (7491,6675) 73x31
15 6 SL6-25 (305,5674) 76x32
15 6 SL6-56 (1614,2232) 72x29
15 6 SL7-6 (926,3601) 53x32
15 6 SL10A-30 (5067,167) 100x35
15 6 SL12-13 (280,3487) 93x34
15 6 SL13-27 (1861,5882) 89x30
15 6 T3 (4739,7393) 67x52
15 6 T4 (5348,3627) 49x32
15 6 T10 (3225,1570) 92x48
15 6 T14 (465,3008) 70x39
15 6 T15 (4046,274) 83x42
15 6 T15 (2454,829) 96x58
15 6 T16 (465,3507) 69x43
15 6 T23 (5101,1747) 75x53
16 7 1 (4467,2755) 24x40
16 7 2 (4702,2971) 31x40
16 7 3 (5642,3080) 32x40
16 7 3 (4942,2448) 32x40
16 7 3 (4241,1420) 32x40
16 7 4 (4599,2070) 32x41
16 7 4-90 (257,1800) 65x34
16 7 5 (4797,2078) 47x53
16 7 5-2A (4723,2346) 19x22
16 7 5-27 (2625,3703) 57x26
16 7 5-85B (3022,673) 75x27
16 7 5-100 (2271,756) 75x33
16 7 5-114 (1159,3050) 75x32
16 7 5-125 (6046,3791) 72x23
16 7 5-141 (3944,5086) 74x32
16 7 6 (4631,1895) 45x41
16 7 6-5 (4531,2742) 115x65
16 7 6-6A (4991,2763) 16x24
16 7 6-65 (7656,4196) 66x31
16 7 7 (4443,1717) 31x41
16 7 8 (4462,3063) 33x40
16 7 8-24 (6155,3184) 62x34
16 7 8-137 (7139,3684) 72x27
16 7 9 (4622,3179) 49x50
16 7 9-2 (5534,3341) 43x25
16 7 9-2 (4799,3057) 51x31
16 7 9-27 (7576,5277) 56x29
16 7 9-86 (3998,1750) 56x23
16 7 9-101 (2266,277) 76x29
16 7 10 (4868,3235) 47x40
16 7 11 (4782,3372) 43x40
16 7 12 (4970,4125) 47x40
16 7 12 (4967,3536) 47x44
16 7 13 (4799,3542) 47x40
16 7 14 (5175,3337) 46x41
16 7 15 (5210,3680) 47x40
16 7 16 (5517,3541) 47x41
16 7 16A (5711,3562) 63x35
16 7 17 (5620,4159) 46x41
16 7 18 (5278,4159) 47x40
16 7 19 (4731,3817) 47x41
16 7 20 (4589,3922) 52x46
16 7 21 (4180,3868) 47x40
16 7 22 (3941,3987) 51x40
16 7 23 (3855,4193) 50x40
16 7 24 (4026,4226) 50x41
16 7 25 (4488,4193) 51x40
16 7 26 (4488,4466) 51x41
16 7 27 (4966,4672) 50x41
16 7 28 (4146,4672) 51x40
16 7 29 (4693,4844) 51x41
16 7 30 (4385,4946) 51x40
16 7 31 (4590,5015) 47x40
16 7 32 (5513,4740) 51x40
16 7 33 (6231,4774) 51x40
16 7 34 (5923,3609) 52x43
16 7 35 (6163,3748) 51x40
16 7 36 (6333,3713) 51x41
16 7 37 (6163,4261) 50x41
16 7 38 (6641,3919) 51x40
16 7 39 (6641,4261) 51x41
16 7 40 (7119,4192) 52x41
16 7 41 (7221,4501) 48x41
16 7 42 (7631,4501) 52x41
16 7 43 (6879,4911) 52x41
16 7 44 (6610,4658) 47x57
16 7 44A (6735,4795) 63x31
16 7 45 (6230,6588) 52x41
16 7 45 (6367,5972) 52x41
16 7 45 (6298,5288) 52x41
16 7 46 (6572,4945) 52x41
16 7 47 (6504,5191) 66x56
16 7 48 (6469,5493) 52x41
16 7 49 (6264,5458) 52x41
16 7 50 (6863,5511) 50x40
16 7 51 (6778,6042) 47x40
16 7 51A (7039,6127) 75x46
16 7 51B (7244,6471) 81x38
16 7 51C (7655,6247) 75x40
16 7 51D (7210,6007) 75x40
16 7 51E (6801,5704) 71x40
16 7 51F (7298,5408) 70x40
16 7 52 (7496,5323) 50x40
16 7 53 (6517,6246) 41x31
16 7 54 (6846,6452) 50x41
16 7 55 (6573,6864) 51x40
16 7 56 (6966,6827) 51x43
16 7 57 (6009,6726) 50x41
16 7 58 (5684,6864) 51x40
16 7 58 (5872,6760) 51x40
16 7 59 (5242,6595) 33x23
16 7 60 (5615,6382) 52x41
16 7 61 (5717,5903) 48x41
16 7 62 (5940,5699) 51x41
16 7 63 (6059,5322) 52x41
16 7 64 (5966,4970) 42x29
16 7 65 (5717,5288) 52x41
16 7 66 (5034,5254) 52x41
16 7 67 (4863,5254) 51x42
16 7 68 (5239,5595) 52x41
16 7 69 (4897,5561) 52x42
16 7 70 (5582,5562) 51x41
16 7 71 (5240,5870) 47x41
16 7 72 (4078,2653) 51x41
16 7 73 (4078,2276) 51x41
16 7 74 (3599,2343) 50x42
16 7 75 (3599,2927) 51x41
16 7 76 (4488,3405) 51x42
16 7 76 (3736,3337) 51x42
16 7 76A (4538,3760) 49x47
16 7 76B (4389,3714) 40x41
16 7 76C (4223,3648) 35x36
16 7 76D (4051,3628) 36x39
16 7 76E (3912,3508) 36x37
16 7 76F (3743,3505) 34x43
16 7 76G (4394,3259) 38x42
16 7 76H (4235,3215) 40x41
16 7 76I (4124,3080) 30x43
16 7 76J (3999,3079) 34x38
16 7 76K (3586,3318) 38x38
16 7 76K (3816,3032) 34x40
16 7 76K (4805,3649) 37x37
16 7 76K (4662,3311) 46x38
16 7 77 (3428,3474) 50x41
16 7 78 (3291,3851) 51x41
16 7 79 (2881,3782) 51x40
16 7 80 (2709,4398) 52x40
16 7 81 (3154,4125) 48x40
16 7 82 (3051,4313) 52x40
